Graph,Family,V,E,lambda_Base,lambda_Sym,Time_Base,Status_Base,Time_Sym,Status_Sym,Count_Span_Kind,Count_Span,Symmetry_Rule,Var_Base,Var_Sym,Clause_Raw_Base,Clause_Raw_Sym,Clause_Base,Clause_Sym,Var_Reduce_Pct,Clause_Reduce_Pct,Order,Consistent,Completed_Attempts_Base,Conflicts_Base,Decisions_Base,Propagations_Base,Encoding_Time_Base,SAT_Solve_Time_Base,Stats_Complete_Base,Completed_Attempts_Sym,Conflicts_Sym,Decisions_Sym,Propagations_Sym,Encoding_Time_Sym,SAT_Solve_Time_Sym,Stats_Complete_Sym
C_4oC_4,CoC,20,36,8,8,0.577745,OPT,0.511431,OPT,OPT,8,order,160,160,1418,1427,1418,1383,0.0,2.4683,"Base,Sym",YES,3,942,1303,16140,0.039082,0.008794,True,3,944,1361,14243,0.028488,0.006126,True
P_4oP_4,PoP,20,31,7,7,0.463921,OPT,0.780276,OPT,OPT,7,none,140,140,1106,1106,1106,1106,0.0,0.0,"Sym,Base",YES,2,96,196,1576,0.018348,0.000703,True,2,96,196,1576,0.018843,0.000736,True
C_4oP_4,CoP,20,32,8,8,0.994517,OPT,0.489515,OPT,OPT,8,order,160,160,1354,1363,1354,1319,0.0,2.5849,"Base,Sym",YES,2,1138,1601,19855,0.055616,0.018044,True,2,774,1128,14372,0.021231,0.005056,True
P_4oC_4,PoC,20,35,7,7,1.153202,OPT,0.558415,OPT,OPT,7,none,140,140,1162,1162,1162,1162,0.0,0.0,"Sym,Base",YES,3,166,282,2555,0.025733,0.001206,True,3,166,282,2555,0.039558,0.001726,True
C_4xC_5,CxC,20,40,7,7,1.151747,OPT,0.572843,OPT,OPT,7,order,140,140,1560,1568,1560,1536,0.0,1.5385,"Base,Sym",YES,3,1049,1466,21599,0.087171,0.049797,True,3,719,1032,13879,0.030538,0.005984,True
C_4xP_5,CxP,20,36,7,7,0.654466,OPT,0.642792,OPT,OPT,7,order,140,140,1344,1352,1344,1330,0.0,1.0417,"Sym,Base",YES,3,511,712,8251,0.031484,0.004034,True,3,515,710,8304,0.088146,0.004786,True
P_4xP_5,PxP,20,31,6,6,0.578954,OPT,0.501566,OPT,OPT,6,none,120,120,1011,1011,1011,1011,0.0,0.0,"Base,Sym",YES,3,121,190,1856,0.030811,0.001113,True,3,121,190,1856,0.024366,0.000918,True
C_4oC_5,CoC,24,44,9,9,0.559405,OPT,1.116368,OPT,OPT,9,order,216,216,2044,2054,2044,2002,0.0,2.0548,"Sym,Base",YES,2,4235,5903,77303,0.029462,0.034969,True,2,2106,2888,38224,0.032126,0.016454,True
P_4oP_5,PoP,24,39,8,8,0.637934,OPT,0.683138,OPT,OPT,8,none,192,192,1647,1647,1647,1647,0.0,0.0,"Base,Sym",YES,2,746,1047,13344,0.065409,0.018146,True,2,746,1047,13344,0.027189,0.006327,True
C_4oP_5,CoP,24,40,9,9,0.601778,OPT,0.614086,OPT,OPT,9,order,216,216,1972,1982,1972,1930,0.0,2.1298,"Sym,Base",YES,2,4397,5901,81907,0.03033,0.040621,True,2,3825,5059,71646,0.047502,0.032542,True
P_4oC_5,PoC,24,43,8,8,0.599559,OPT,0.98929,OPT,OPT,8,none,192,192,1711,1711,1711,1711,0.0,0.0,"Base,Sym",YES,2,484,669,8279,0.062652,0.004585,True,2,484,669,8279,0.022443,0.003258,True
C_4xC_6,CxC,24,48,7,7,1.367381,OPT,0.904813,OPT,OPT,7,order,168,168,1872,1880,1872,1848,0.0,1.2821,"Sym,Base",YES,3,646,873,12642,0.0374,0.004836,True,3,479,666,9486,0.185332,0.004779,True
C_4xP_6,CxP,24,44,7,7,1.677956,OPT,0.521843,OPT,OPT,7,order,168,168,1656,1664,1656,1642,0.0,0.8454,"Base,Sym",YES,3,551,780,9132,0.041985,0.004895,True,3,553,782,9267,0.038846,0.00366,True
P_4xP_6,PxP,24,38,6,6,1.105867,OPT,2.033578,OPT,OPT,6,none,144,144,1248,1248,1248,1248,0.0,0.0,"Sym,Base",YES,3,112,184,2047,0.036267,0.001706,True,3,112,184,2047,0.191778,0.001018,True
C_4oC_6,CoC,28,52,10,10,0.903726,OPT,0.524178,OPT,OPT,10,order,280,280,2810,2821,2810,2761,0.0,1.7438,"Base,Sym",YES,2,15777,20333,305019,0.044378,0.194272,True,2,10013,12735,184442,0.033593,0.091771,True
P_4oP_6,PoP,28,47,9,9,0.421642,OPT,0.630629,OPT,OPT,9,none,252,252,2320,2320,2320,2320,0.0,0.0,"Sym,Base",YES,1,1126,1565,19262,0.016761,0.006321,True,1,1126,1565,19262,0.028697,0.009077,True
C_4oP_6,CoP,28,48,10,10,1.242449,OPT,0.633859,OPT,OPT,10,order,280,280,2730,2741,2730,2681,0.0,1.7949,"Base,Sym",YES,2,18835,24225,369220,0.113039,0.404393,True,2,11886,15350,225770,0.052316,0.149281,True
